trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
7544,False,"{'a': 0.75310762376777118, 'e': 0.22118609341983972}",20,0,19.490949159497788,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7545,False,"{'a': 0.75314052355409467, 'e': 0.22114185620115576}",25,10,-3.5280334497834414,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
7546,False,"{'a': 0.75317341381412151, 'e': 0.22109762782991552}",25,17,7.2219666881874645,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
7547,False,"{'a': 0.75320629455081622, 'e': 0.22105340830434955}",20,14,12.959705246592437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7548,False,"{'a': 0.75323916576714289, 'e': 0.2210091976226887}",25,10,6.46574372177597,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
7549,False,"{'a': 0.75327202746606503, 'e': 0.22096499578316414}",20,0,-28.174909341498743,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
7550,False,"{'a': 0.75330487965054449, 'e': 0.22092080278400753}",25,13,-2.860806422958513,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7551,False,"{'a': 0.75333772232354301, 'e': 0.22087661862345073}",25,9,10.733228221953187,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
7552,False,"{'a': 0.75337055548802145, 'e': 0.22083244329972604}",20,5,-16.004813165335516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
7553,False,"{'a': 0.75340337914693944, 'e': 0.2207882768110661}",25,13,18.220530880949653,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
7554,False,"{'a': 0.75343619330325606, 'e': 0.22074411915570388}",20,2,10.86156195344884,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
7555,False,"{'a': 0.75346899795992972, 'e': 0.22069997033187275}",25,16,4.033081454964966,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7556,False,"{'a': 0.75350179311991738, 'e': 0.2206558303378064}",30,18,23.536354598358315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7557,False,"{'a': 0.7535345787861758, 'e': 0.22061169917173884}",25,18,-27.471682534179152,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
7558,False,"{'a': 0.75356735496166072, 'e': 0.22056757683190448}",25,13,-3.8888702961958668,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
7559,False,"{'a': 0.75360012164932699, 'e': 0.2205234633165381}",25,16,-3.256520561753829,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7560,False,"{'a': 0.75363287885212837, 'e': 0.2204793586238748}",20,10,-25.26116099959454,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7561,False,"{'a': 0.7536656265730185, 'e': 0.22043526275215003}",25,15,-2.2652373013937774,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
7562,False,"{'a': 0.75369836481494945, 'e': 0.22039117569959962}",20,1,-5.519966036835966,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
7563,False,"{'a': 0.75373109358087287, 'e': 0.22034709746445968}",20,11,-33.94137133346401,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
7564,False,"{'a': 0.7537638128737395, 'e': 0.22030302804496682}",20,14,10.392824013670865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7565,False,"{'a': 0.75379652269649899, 'e': 0.22025896743935783}",30,17,-42.46146331318691,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
7566,False,"{'a': 0.75382922305210065, 'e': 0.22021491564586995}",20,12,12.93722319646081,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7567,False,"{'a': 0.75386191394349267, 'e': 0.2201708726627408}",20,15,10.296483088154059,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7568,False,"{'a': 0.75389459537362236, 'e': 0.22012683848820824}",20,12,13.790182359611185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7569,False,"{'a': 0.75392726734543614, 'e': 0.22008281312051062}",25,11,5.136236467405497,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
7570,False,"{'a': 0.7539599298618801, 'e': 0.2200387965578865}",20,8,1.552891764441598,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
7571,False,"{'a': 0.75399258292589877, 'e': 0.21999478879857493}",25,10,24.909758596238017,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7572,False,"{'a': 0.75402522654043613, 'e': 0.21995078984081523}",20,14,11.359101123106148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7573,False,"{'a': 0.75405786070843583, 'e': 0.21990679968284707}",25,9,-57.064064499401134,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
7574,False,"{'a': 0.75409048543284007, 'e': 0.2198628183229105}",25,18,14.843018645157393,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7575,False,"{'a': 0.7541231007165905, 'e': 0.21981884575924593}",25,16,-0.7265808364706439,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7576,False,"{'a': 0.75415570656262754, 'e': 0.2197748819900941}",20,13,14.417452148976846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7577,False,"{'a': 0.75418830297389139, 'e': 0.21973092701369606}",20,12,-29.92168767550954,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7578,False,"{'a': 0.75422088995332115, 'e': 0.21968698082829333}",25,20,8.122935280290719,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7579,False,"{'a': 0.7542534675038548, 'e': 0.21964304343212768}",20,8,20.522611229019812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7580,False,"{'a': 0.75428603562843, 'e': 0.21959911482344127}",25,12,23.37993681752408,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7581,False,"{'a': 0.75431859432998338, 'e': 0.21955519500047657}",20,11,12.55558258321027,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
7582,False,"{'a': 0.75435114361145039, 'e': 0.21951128396147648}",20,5,2.1884529639277472,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
7583,False,"{'a': 0.75438368347576623, 'e': 0.2194673817046842}",25,19,12.060765979504755,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7584,False,"{'a': 0.75441621392586489, 'e': 0.21942348822834326}",25,16,3.6601292116113937,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7585,False,"{'a': 0.75444873496467957, 'e': 0.2193796035306976}",30,16,27.11135571766296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7586,False,"{'a': 0.75448124659514282, 'e': 0.21933572760999145}",30,13,-13.130147646051606,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
7587,False,"{'a': 0.75451374882018618, 'e': 0.21929186046446947}",30,13,30.797051452844016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7588,False,"{'a': 0.75454624164274031, 'e': 0.21924800209237658}",25,14,9.490509630293047,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
7589,False,"{'a': 0.75457872506573553, 'e': 0.2192041524919581}",25,14,5.050625015949665,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
7590,False,"{'a': 0.75461119909210062, 'e': 0.21916031166145972}",20,12,0.25957800474398773,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7591,False,"{'a': 0.75464366372476377, 'e': 0.21911647959912744}",35,23,18.45409880665741,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7592,False,"{'a': 0.75467611896665276, 'e': 0.21907265630320763}",25,5,9.187626103321186,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
7593,False,"{'a': 0.75470856482069415, 'e': 0.21902884177194698}",20,8,-20.31705742209914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
7594,False,"{'a': 0.75474100128981358, 'e': 0.2189850360035926}",20,15,3.8885429794622226,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7595,False,"{'a': 0.75477342837693606, 'e': 0.2189412389963919}",25,8,13.790890857649817,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
7596,False,"{'a': 0.75480584608498569, 'e': 0.2188974507485926}",20,3,14.915244925685835,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
7597,False,"{'a': 0.75483825441688579, 'e': 0.2188536712584429}",20,7,23.837739649105917,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7598,False,"{'a': 0.75487065337555903, 'e': 0.21880990052419122}",25,13,21.77708603441535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7599,False,"{'a': 0.75490304296392685, 'e': 0.21876613854408639}",20,11,17.157617634893956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7600,False,"{'a': 0.75493542318491003, 'e': 0.21872238531637755}",20,4,-61.44138171728275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
7601,False,"{'a': 0.75496779404142855, 'e': 0.2186786408393143}",25,6,-4.925169665734768,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
7602,False,"{'a': 0.75500015553640187, 'e': 0.21863490511114644}",20,6,21.118862649074533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7603,False,"{'a': 0.7550325076727481, 'e': 0.21859117813012421}",25,8,28.450577163372465,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7604,False,"{'a': 0.75506485045338467, 'e': 0.2185474598944982}",20,10,15.824475544424264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7605,False,"{'a': 0.75509718388122837, 'e': 0.2185037504025193}",20,8,11.303170937227186,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
7606,False,"{'a': 0.75512950795919509, 'e': 0.2184600496524388}",25,15,-38.586778955044544,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
7607,False,"{'a': 0.75516182269019971, 'e': 0.2184163576425083}",25,11,5.517118720154811,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
7608,False,"{'a': 0.75519412807715636, 'e': 0.21837267437097982}",20,0,2.563284200395503,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
7609,False,"{'a': 0.75522642412297847, 'e': 0.21832899983610562}",30,7,-2.9194216053754927,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
7610,False,"{'a': 0.75525871083057872, 'e': 0.21828533403613842}",25,16,5.189481331245595,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7611,False,"{'a': 0.75529098820286877, 'e': 0.2182416769693312}",35,16,4.769792932391703,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
7612,False,"{'a': 0.75532325624275931, 'e': 0.21819802863393734}",20,15,9.2429860115522,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7613,False,"{'a': 0.75535551495316033, 'e': 0.21815438902821055}",20,16,8.540322830954521,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7614,False,"{'a': 0.75538776433698129, 'e': 0.2181107581504049}",30,12,-37.143655363560704,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
7615,False,"{'a': 0.75542000439713053, 'e': 0.21806713599877484}",25,19,4.694626011449043,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
7616,False,"{'a': 0.75545223513651549, 'e': 0.2180235225715751}",30,19,-19.089803734040142,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
7617,False,"{'a': 0.75548445655804297, 'e': 0.21797991786706078}",20,8,20.149217644619892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7618,False,"{'a': 0.75551666866461886, 'e': 0.21793632188348736}",20,8,-20.573283140485294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
7619,False,"{'a': 0.75554887145914829, 'e': 0.21789273461911066}",20,12,5.190895440547868,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
7620,False,"{'a': 0.75558106494453536, 'e': 0.21784915607218686}",25,11,6.056286389524214,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
7621,False,"{'a': 0.75561324912368355, 'e': 0.21780558624097243}",20,10,21.751171389312805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7622,False,"{'a': 0.75564542399949552, 'e': 0.21776202512372422}",20,10,13.43907740559247,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
7623,False,"{'a': 0.75567758957487285, 'e': 0.21771847271869949}",20,15,-34.46766843678196,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
7624,False,"{'a': 0.75570974585271666, 'e': 0.21767492902415575}",25,16,15.712895070769678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
